,Name,Link,Year,Publisher,Platform
199,shining force cd ,https://www.uvlist.net/game-33172-Shining+Force+CD,1994,Sega,Mega-CD
200,shining force chronicle i,https://www.uvlist.net/game-161562-Shining+Force+Chronicle+I,2005,Sega,Mobile
201,shining force chronicle ii,https://www.uvlist.net/game-161563-Shining+Force+Chronicle+II,2005,Sega,Mobile
202,shining force chronicle iii,https://www.uvlist.net/game-182910-Shining+Force+Chronicle+III,2006,Sega,Mobile
203,shining force cross,https://www.uvlist.net/game-171712-Shining+Force+Cross,2009,Sega,Arcade
204,shining force cross raid,https://www.uvlist.net/game-182907-Shining+Force+Cross+Raid,2010,Sega,Arcade
205,shining force exa,https://www.uvlist.net/game-164151-Shining+Force+EXA,2007,Sega,Mobile
206,shining force exa ,https://www.uvlist.net/game-161224-Shining+Force+EXA,2007,Sega ,PS2
207,shining force feather ,https://www.uvlist.net/game-168967-Shining+Force+Feather,2009,Sega ,Nintendo DS
208,shining force gaiden ,https://www.uvlist.net/game-43866-Shining+Force+Gaiden,1992,Sega ,Game Gear
209,shining force gaiden: final conflict ,https://www.uvlist.net/game-43868-Shining+Force+Gaiden+Final+Conflict,1995,Sega,Game Gear
